year	week	merge	split	transition
2012	50	0.156584544	0.63837446	0.205040997
2012	51	0.147622945	0.640123463	0.212253592
2012	52	0.153859898	0.657470903	0.188669199
2013	1	0.150338299	0.643347563	0.206314138
2013	2	0.142056747	0.644929446	0.213013807
2013	3	0.148217592	0.65786476	0.193917648
2013	4	0.147730122	0.659070556	0.193199322
2013	5	0.149752032	0.658862277	0.191385691
2013	6	0.144103973	0.649358913	0.206537114
2013	7	0.167488141	0.614259801	0.218252059
2013	8	0.166399553	0.615425329	0.218175118
2013	9	0.168981781	0.620013879	0.21100434
2013	10	0.175057609	0.601365447	0.223576943
2013	11	0.176071722	0.605946605	0.217981672
2013	12	0.176493599	0.630502333	0.193004067
2013	13	0.175520652	0.619329699	0.20514965
2013	14	0.18421676	0.601228854	0.214554386
2013	15	0.188527259	0.611256879	0.200215861
2013	16	0.178861399	0.616169194	0.204969407
2013	17	0.186239217	0.603749153	0.21001163
2013	18	0.188000951	0.607917924	0.204081125
2013	19	0.183252438	0.580244059	0.236503503
2013	20	0.187013597	0.5783661	0.234620303
2013	21	0.178720516	0.583015812	0.238263672
2013	22	0.185926698	0.578501214	0.235572088
2013	23	0.181791318	0.582274432	0.235934251
2013	24	0.180767612	0.571418471	0.247813917
2013	25	0.177720383	0.579215968	0.243063649
2013	26	0.177482572	0.593886198	0.228631231
2013	27	0.17636115	0.593304764	0.230334086
2013	28	0.171007049	0.588678553	0.240314398
2013	29	0.17562686	0.590470595	0.233902545
2013	30	0.176907957	0.594658481	0.228433562
2013	31	0.165523987	0.584273776	0.250202237
2013	32	0.169801924	0.582753917	0.247444159
2013	33	0.182283596	0.575965893	0.241750511
2013	34	0.178695959	0.590925994	0.230378047
2013	35	0.1761016	0.60445144	0.219446961
2013	36	0.194389965	0.583238341	0.222371694
2013	37	0.179415224	0.582204009	0.238380767
2013	38	0.176180181	0.612767272	0.211052548
2013	39	0.168856981	0.607372798	0.223770221
2013	40	0.158000769	0.614637657	0.227361574
2013	41	0.154726755	0.613930447	0.231342798
2013	42	0.166563412	0.604914934	0.228521654
2013	43	0.169931042	0.590749983	0.239318975
2013	44	0.168464576	0.575833048	0.255702376
2013	45	0.180088822	0.556354483	0.263556695
2013	46	0.171087476	0.581601602	0.247310922
2013	47	0.172309438	0.563559675	0.264130887
2013	48	0.164124168	0.580561747	0.255314085
2013	49	0.158954885	0.565140708	0.275904407
2013	50	0.161870758	0.558697126	0.279432117
2013	51	0.164001328	0.56516683	0.270831842
2013	52	0.173385602	0.549058916	0.277555482
2014	1	0.18394132	0.566802263	0.249256417
2014	2	0.177278497	0.545778633	0.27694287
2014	3	0.172853154	0.554073869	0.273072976
2014	4	0.180790625	0.557105248	0.262104128
2014	5	0.170362292	0.564422766	0.265214942
2014	6	0.175493029	0.566160728	0.258346243
2014	7	0.177566467	0.561954051	0.260479482
2014	8	0.179145486	0.561413303	0.259441212
2014	9	0.177522405	0.558664949	0.263812647
2014	10	0.18280023	0.560844962	0.256354808
2014	11	0.175573946	0.523074963	0.30135109
2014	12	0.178671765	0.528158863	0.293169372
2014	13	0.179093151	0.553634395	0.267272454
2014	14	0.181607474	0.556809935	0.261582591
2014	15	0.184103518	0.551711405	0.264185077
2014	16	0.19383492	0.550095284	0.256069796
2014	17	0.192648481	0.548546725	0.258804794
2014	18	0.186960754	0.552791193	0.260248053
2014	19	0.182059388	0.552546443	0.265394169
2014	20	0.181156989	0.541636684	0.277206327
2014	21	0.184037729	0.533266053	0.282696218
2014	22	0.184359975	0.54146238	0.274177645
2014	23	0.180504926	0.553021393	0.266473682
2014	24	0.182214391	0.545604699	0.27218091
2014	25	0.184048642	0.538428444	0.277522914
2014	26	0.181392552	0.542881892	0.275725556
2014	27	0.184263717	0.538686778	0.277049505
2014	28	0.180963879	0.53527174	0.283764381
2014	29	0.173961874	0.547273845	0.278764282
2014	30	0.178053493	0.545935913	0.276010595
2014	31	0.180955683	0.545319333	0.273724984
2014	32	0.187055276	0.541520123	0.271424601
2014	33	0.188288015	0.536979212	0.274732773
2014	34	0.17653087	0.559602733	0.263866397
2014	35	0.176458556	0.559151983	0.26438946
2014	36	0.178527255	0.557851552	0.263621194
2014	37	0.176664264	0.571273132	0.252062604
2014	38	0.177345949	0.563119035	0.259535016
2014	39	0.186459399	0.556480975	0.257059626
2014	40	0.18670044	0.568296115	0.245003445
2014	41	0.176072466	0.581291827	0.242635707
2014	42	0.176861385	0.572199853	0.250938762
2014	43	0.173473748	0.585429237	0.241097016
2014	44	0.168372148	0.597848092	0.233779761
2014	45	0.170468214	0.584777346	0.24475444
2014	46	0.172191719	0.597984699	0.229823582
2014	47	0.165904451	0.602935072	0.231160477
2014	48	0.168023046	0.60325531	0.228721644
2014	49	0.162899213	0.616218254	0.220882533
2014	50	0.171968452	0.591879644	0.236151905
2014	51	0.175232902	0.590774776	0.233992322
2014	52	0.172765318	0.592042312	0.23519237
2015	1	0.181954017	0.589635418	0.228410565
2015	2	0.174323614	0.605356598	0.220319788
2015	3	0.169714476	0.607331419	0.222954105
2015	4	0.175890039	0.581714825	0.242395136
2015	5	0.181490678	0.564371229	0.254138093
2015	6	0.184770274	0.560988951	0.254240775
2015	7	0.196815149	0.554916029	0.248268822
2015	8	0.196097287	0.548289725	0.255612988
2015	9	0.184661501	0.560761415	0.254577085
2015	10	0.206893486	0.535093486	0.258013028
2015	11	0.187289765	0.5394895	0.273220735
2015	12	0.182883087	0.558239128	0.258877785
2015	13	0.180578557	0.56541452	0.254006923
2015	14	0.173824639	0.58017379	0.246001572
2015	15	0.169186774	0.584752856	0.24606037
2015	16	0.170712727	0.566667726	0.262619547
2015	17	0.170607989	0.559466411	0.2699256
2015	18	0.168949703	0.560353125	0.270697171
2015	19	0.169167887	0.553764463	0.27706765
2015	20	0.175091196	0.550943074	0.27396573
2015	21	0.177442697	0.551822906	0.270734397
2015	22	0.172060884	0.543980166	0.283958951
2015	23	0.172594069	0.538825238	0.288580693
2015	24	0.180018221	0.543205591	0.276776188
2015	25	0.173445012	0.556452012	0.270102976
2015	26	0.170948051	0.566881913	0.262170036
2015	27	0.169690839	0.555666506	0.274642655
2015	28	0.099132992	0.553360247	0.347506761
2015	29	0.272537822	0.486467338	0.24099484
2015	30	0.172958603	0.58073889	0.246302507
2015	31	0.159790193	0.593808788	0.246401019
2015	32	0.162049064	0.603454045	0.23449689
2015	33	0.179013206	0.563881999	0.257104795
2015	34	0.179197606	0.571257364	0.249545031
2015	35	0.175172627	0.571310798	0.253516575
2015	36	0.16918185	0.580461405	0.250356745
2015	37	0.207185356	0.510978846	0.281835797
2015	38	0.232529625	0.438339356	0.329131019
2015	39	0.176119437	0.557192687	0.266687876
2015	40	0.170509213	0.574051042	0.255439745
2015	41	0.174613639	0.561858994	0.263527367
2015	42	0.174285482	0.558562554	0.267151964
2015	43	0.176698904	0.563857178	0.259443918
2015	44	0.17052834	0.559922664	0.269548996
2015	45	0.174633647	0.570870406	0.254495947
2015	46	0.166499089	0.58799189	0.245509021
2015	47	0.163500591	0.587563454	0.248935955
2015	48	0.162764354	0.594162251	0.243073395
2015	49	0.158556682	0.58815127	0.253292048
2015	50	0.154281777	0.59296837	0.252749853
2015	51	0.146659053	0.601528268	0.251812679
2015	52	0.153828007	0.602460861	0.243711132
2016	1	0.163251937	0.595261958	0.241486105
2016	2	0.158032692	0.59511261	0.246854698
2016	3	0.159260503	0.611236862	0.229502635
2016	4	0.150007269	0.590569856	0.259422875
2016	5	0.151580107	0.624624486	0.223795407
2016	6	0.158660559	0.629703243	0.211636197
2016	7	0.160895375	0.626394504	0.212710121
2016	8	0.158956307	0.604023075	0.237020618
2016	9	0.161240386	0.619975924	0.21878369
2016	10	0.157269881	0.598242123	0.244487996
2016	11	0.140019532	0.638532834	0.221447633
2016	12	0.145317826	0.62382139	0.230860784
2016	13	0.154430794	0.618252129	0.227317077
2016	14	0.140975202	0.629442598	0.229582201
2016	15	0.133327661	0.641890634	0.224781705
2016	16	0.135131018	0.640446123	0.224422859
2016	17	0.12783726	0.645633127	0.226529614
2016	18	0.132983002	0.625070852	0.241946146
2016	19	0.128674889	0.653044716	0.218280395
2016	20	0.140322838	0.643900547	0.215776615
2016	21	0.142715918	0.635149018	0.222135064
2016	22	0.139385532	0.640206159	0.220408309
2016	23	0.135518472	0.647195994	0.217285535
2016	24	0.145170451	0.645220565	0.209608984
2016	25	0.140997648	0.645848828	0.213153524
2016	26	0.129784243	0.658580881	0.211634876
