"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"21",2628,2796,3195,3757,4981,6504,8312,10615,12841,15953,18827,21992,25297,28604,31710,35199,38821,41870,44702,47838,50686,53589,56078,58542,60731,62940,64512,66139,67543,68540,69462,70259,71016,71938,72779,73546,74254,74697,75314,75779,76049,76399,76935,77105,77244,77601,77921,78080,78225,78430,78548,78577,78763,78792,78899,78944,78992,79110,79148,79184,79208,79222,79235,79241,79247,79322,79325,79326,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"22",1711,1739,2001,2869,3989,5705,7861,10513,13345,16442,19880,23034,27013,30228,33928,37286,41065,44519,47638,50989,53364,56139,58621,61032,63386,65435,67033,68187,69410,70564,71426,72307,72903,73441,74047,74576,75014,75474,75850,76264,76550,76777,77142,77266,77425,77516,77728,77988,78053,78165,78212,78265,78376,78479,78590,78643,78698,78817,78860,78918,78958,79002,79034,79065,79086,79166,79197,79271,79293,79304,79320,79327,79335,79336,79336,79340,79341,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"23",2556,2729,3114,3718,4568,5829,7650,9568,11805,14490,17119,20519,23615,27017,30834,34109,37197,40200,43596,47266,50185,53388,55618,58288,60390,62642,64296,65753,67311,68876,70575,71521,72530,73300,73882,74413,74832,75341,75702,76336,76704,76920,77101,77406,77544,77755,77881,78207,78230,78337,78505,78610,78707,78798,78807,78826,78849,78870,78903,78938,78968,78992,79019,79039,79065,79088,79110,79126,79154,79176,79264,79275,79292,79307,79318,79320,79321,79324,79326,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"24",2556,2786,2936,3322,4120,5321,6887,8772,10655,12961,15353,17730,20846,23523,26750,30070,33064,36863,39539,42970,45959,48616,51310,53920,56505,58876,60844,62276,63734,65466,66701,68059,69050,69889,70879,71548,72132,72790,73265,73700,74127,74583,75125,75485,75761,75876,76056,76314,76489,76682,76928,77168,77257,77421,77514,77743,77907,77977,78055,78122,78186,78260,78336,78478,78537,78597,78656,78773,78900,78949,78991,79038,79130,79154,79163,79168,79247,79249,79255,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"25",2346,2383,2576,3249,4598,6036,7978,10178,12884,15507,18079,21279,24392,27559,31166,34938,38574,42618,46183,49244,52187,55739,58396,60568,62767,64725,66199,67579,68698,69993,71235,72422,73307,74105,74633,75244,75863,76204,76623,77026,77147,77437,77714,77932,78133,78317,78569,78685,78721,78815,78832,78850,78866,78880,78891,78968,79041,79048,79055,79061,79074,79085,79094,79106,79117,79125,79139,79152,79169,79178,79192,79218,79233,79253,79270,79288,79298,79310,79315,79322,79329,79331,79331,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"26",1326,1412,1658,2241,3396,5039,7045,9164,11522,14182,17130,20100,23112,26435,29670,33239,36940,40330,43941,46948,49796,52557,55186,57253,59385,61432,62729,64279,66012,67114,68109,69155,70041,70912,71568,72212,72795,73363,73725,74259,74613,74958,75380,75778,76251,76501,76804,77035,77124,77322,77462,77589,77765,77884,77956,78025,78149,78209,78267,78376,78422,78490,78601,78654,78702,78748,78780,78826,78847,78889,79027,79053,79096,79131,79157,79196,79226,79245,79265,79278,79283,79345,79346,79347,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"27",630,768,1007,1675,2966,4875,7187,10120,12948,16195,19479,23055,26667,30312,33973,37663,41224,45158,48404,51688,54579,57226,59865,62050,64165,65857,67547,68884,70063,71311,72105,72895,73658,74234,75024,75408,75879,76159,76566,76888,77113,77286,77496,77843,77943,78009,78113,78239,78278,78398,78465,78545,78580,78616,78666,78717,78772,78822,78883,78932,78980,79051,79128,79169,79202,79240,79255,79266,79279,79290,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"28",1596,1770,2304,3240,4953,7036,9499,12424,15414,18932,22572,26366,30171,34135,38228,42234,46129,50041,53049,56250,58867,61044,63069,65301,67159,68520,69992,71114,72002,73007,73972,74685,75326,75893,76421,76883,77004,77174,77385,77572,77687,77875,78154,78196,78243,78348,78386,78429,78458,78543,78578,78593,78610,78625,78642,78714,78740,78756,78779,78798,78822,78846,78876,78900,78938,78964,79007,79050,79086,79117,79147,79170,79199,79286,79309,79325,79335,79338,79341,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"29",2016,2306,2481,3359,4649,6469,8745,11306,13919,16856,20321,23822,28093,32070,35551,38967,42460,45797,48569,51753,54514,57381,59922,62108,63708,65471,67049,68264,69361,70389,71101,71939,72769,73571,74591,75063,75399,76052,76584,76953,77174,77418,77642,78097,78207,78301,78511,78521,78524,78665,78669,78675,78685,78699,78710,78728,78751,78766,78785,78812,78830,78860,78885,78914,78941,78972,79008,79044,79095,79127,79168,79206,79225,79244,79325,79329,79332,79334,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"30",820,975,1187,1994,3316,4985,7265,9867,12770,16015,19292,22785,26632,30148,33675,37063,40171,43594,47081,50126,52756,55892,58240,60226,62092,63543,65167,66644,67747,69404,70381,71472,72335,72991,73565,74082,74660,75213,75606,76063,76497,76881,77231,77459,77617,77735,77939,78110,78181,78318,78373,78420,78507,78563,78615,78764,78812,78876,78931,78995,79054,79113,79155,79196,79218,79239,79290,79301,79309,79355,79359,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
